"building_number",name_vivo
1,UH (University Hall) #1
2,HH (Hamilton Hall) #2
8,Alumni Memorial Hall #8
9,NRB (Nuclear Research Building) #9
10,MML (Mills Memorial Library) #10
11,BSB (Burke Science Building) #11
10b,MMA (McMaster Museum of Art) #10b
15,REAC (Nuclear Reactor) #15
16,JHE (John Hodgins Engineering Building) #16
20,GH (Gilmour Hall) #20
22,GSB (General Science Building) #22
23,CNH (Chester New Hall) #23
24,IWC (Ivor Wynne Centre) #24
25,ABB (A.N. Bourns Science Building) #25
26,ETB (Engineering Technology Building) #26
28,C (Commons Building) #28
29,TSH (Togo Salmon Hall) #29
31,CSB (Campus Services Building) #31
33,ADL (Applied Dynamics Laboratory) #33
34,PC (Psychology Building) #34
37,HSC (Health Sciences Centre) #37
38,KTH (Kenneth Taylor Hall) #38
39,LS (Life Sciences Building) #39
43,CRL (Communications Research Laboratory) #43
46,DSB (DeGroote School of Business) #46
48,IAHS (Institute for Applied Health Sciences Building) #48
49,ITB (Information Technology Building) #49
51,MUSC (McMaster University Student Centre) #51
52,MDCL (Michael G. DeGroote Centre for Learning and Discovery) #52
56,ETB (Engineering Technology Building) #56 
83,DBHSC (David Braley Health Sciences Centre) #83
156,St. Joseph's Hospital Marion Wing #156
159,Chedoke Hospital Central Building #159
341,Chedoke Hosp Evel Pavilion
349,Charlton Medical Centre
356,St. Joseph's Healthcare
358,Juravinski Cancer Centre
370,St. Peter's Health Centre
383,St Joes Fontbonne
385,St Joes Martha Wing
418,St Joes Ambulatory Cr
424,Chedoke Patterson Bldg
426,IBM
428,HCH Research Centre G Wing
438,St Joes Mntl Hlth
441,Stonechurch Family Prac
464,Hamilton General 2 East
466,St Joes Luke Wing
467,Hamilton General Hosp 4East
468,St Joes Health Mary Grace
471,David Braley Cvsri
478,St Joes Juravinsk Twr
480,Mgd - School Of Med (Niagara)
481,McMaster Innovation Park
489,MGD Schl Of Med Kw Campus
496,Juravinski Hospital
498,Ron Joyce Centre
499,Automotive Resource Cntr
T27,"DC (Downtown Centre) #T27"